Rank,Subscribers,Name,Title,Category
,,,,
1,253.7M,jlo,Jennifer Lopez,MusicCinema & Actors/actresses
2,102.7M,vindiesel,Vin Diesel,Cinema & Actors/actresses
3,19M,kanyewest,Ye,Lifestyle
4,54.7M,cznburak,Burak Özdemir,Food & Cooking
5,30.1M,emrata,Emily Ratajkowski,Modeling
6,47.3M,thenotoriousmma,Conor McGregor Official,Fitness & Gym
7,11.5M,vladimirshmondenko,VLADIMIR1 & mr ANATOLY,Fitness & Gym
8,31.3M,otabek_muhammadalievich,Otabek Umarov,
9,32M,hakkiakdenizz,hakki akdeniz,Business & Careers
10,15.7M,samoylovaoxana,Samoylova Oxana,FamilyLifestyle
11,17.6M,kashikakapoor09,Kashika Kapoor,BeautyLifestyleCinema & Actors/actresses
12,57.2M,tatawerneck,Tata Werneck,Cinema & Actors/actressesFamily
13,26.4M,hannahstocking,Hannah Stocking,Modeling
14,23.4M,irinashayk,irina shayk,Modeling
15,22.2M,araikgalstyanmoscowschool,ARAIK GALSTYAN,Beauty
16,62.2M,leonardodicaprio,Leonardo DiCaprio,Cinema & Actors/actresses
17,14.2M,neslihanatagul,Neslihan Atagül Doğulu,Cinema & Actors/actressesModeling
18,12.7M,subo_m,Субо Мамедов,Shows
19,19.8M,rosiehw,Rosie HW,Modeling
20,13.8M,evcenf,Fahriye Evcen Özçivit,LifestyleBeauty
21,6.1M,rahimabramov,Rakhim,Shows
22,26.1M,schwarzenegger,Arnold Schwarzenegger,Cinema & Actors/actressesFitness & Gym
23,12.1M,eilirjani,Elton ILIRJANI,Adult content
24,20.1M,adamweitsman,Adam Weitsman,Business & Careers
25,12M,limitless,Jas Mathur,Business & CareersManagement & Marketing
26,5M,pinchuk_official,Ирина Пинчук,
27,8.2M,islam_makhachev,Islam_Makhachev,Fitness & Gym
28,5.9M,brianmaps,Брайн Мапс (Макс Тарасенко),
29,21.1M,borodylia,Ксения Бородина,ShowsFamily
30,38.2M,bmw,BMW,Cars & Motorbikes
31,8.4M,kikakim,Kristina Kim,LifestyleMusic
32,28.7M,adidas,adidas,Clothing & OutfitsFitness & Gym
33,8.4M,hasbulla.hushetskiy,Hasbulla Magomedov,Lifestyle
34,7.7M,khamzat_chimaev,Khamzat Chimaev,Trainers & CoachesFitness & GymSports with a ball
35,24.1M,buzova86,Olga Buzova,MusicShowsCinema & Actors/actresses
36,5.9M,love__rose92,Liubava  Rose ❤️ 🌹,Nature & landscapesLifestyleTravel
37,8.4M,carolinederpienski,CAROLINE MARIA DERPIENSKI,Modeling
38,8.4M,abdu_rozik,Abduroziq Official,MusicShows
39,4.7M,wengallbi_tm,Ахмед Алиасхабов,Cars & Motorbikes
40,7.7M,meryemuzerlimeryem,meryemuzerlimeryem,Cinema & Actors/actresses
41,3.6M,kvara7,Khvicha Kvaratskhelia,
42,6.8M,justking31,Nurtaza Nurbek,Humor & Fun & HappinessFamily
43,11.9M,urgantcom,Иван Ургант,ShowsCinema & Actors/actresses
44,4.8M,luna_the_pantera,Luna,LifestyleAnimals
45,8.1M,jcvd,Jean-Claude Van Damme,Cinema & Actors/actresses
46,11M,andreybatt,ANDREY BATT,
47,9.3M,nadin_serovski,Nadin Serovski,FamilyLifestyle
48,7.1M,francesconappoph,Francesco Nappo,Photography
49,10.2M,kateclapp,Kate Clapp / Катя Клэп,Shows
50,6.3M,katyagorod,Ekaterina Gorodnicheva,TravelLifestyle
